,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
2640,146,402,0,0.5,0.5,0.25,0.0,0.0
2641,164,107,0,0.5,-0.5,-0.25,0.5,0.25
2642,156,105,0,0.5,-0.5,-0.25,0.5,0.25
2643,152,203,0,0.5,-0.5,-0.25,-0.5,-0.25
2644,165,208,-1,0.5,-0.5,-0.25,-0.5,-0.25
2645,146,103,0,0.5,-0.5,-0.25,0.5,0.25
2646,158,405,0,0.5,0.5,0.25,0.0,0.0
2647,149,108,0,0.5,-0.5,-0.25,0.5,0.25
2648,164,203,0,0.5,-0.5,-0.25,-0.5,-0.25
2649,139,107,0,0.5,-0.5,-0.25,0.5,0.25
2650,160,101,0,0.5,-0.5,-0.25,0.5,0.25
2651,162,103,-1,0.5,-0.5,-0.25,0.5,0.25
2652,164,405,0,0.5,0.5,0.25,0.0,0.0
2653,158,406,0,0.5,0.5,0.25,0.0,0.0
2654,146,304,0,0.5,0.5,0.25,0.0,0.0
2655,156,407,0,0.5,0.5,0.25,0.0,0.0
2656,139,303,0,0.5,0.5,0.25,0.0,0.0
2657,165,204,0,0.5,-0.5,-0.25,-0.5,-0.25
2658,152,103,0,0.5,-0.5,-0.25,0.5,0.25
2659,162,307,0,0.5,0.5,0.25,0.0,0.0
2660,164,403,0,0.5,0.5,0.25,0.0,0.0
2661,158,105,0,0.5,-0.5,-0.25,0.5,0.25
2662,156,302,0,0.5,0.5,0.25,0.0,0.0
2663,165,105,0,0.5,-0.5,-0.25,0.5,0.25
2664,152,407,0,0.5,0.5,0.25,0.0,0.0
2665,164,303,0,0.5,0.5,0.25,0.0,0.0
2666,160,301,0,0.5,0.5,0.25,0.0,0.0
2667,156,306,0,0.5,0.5,0.25,0.0,0.0
2668,165,302,0,0.5,0.5,0.25,0.0,0.0
2669,146,207,0,0.5,-0.5,-0.25,-0.5,-0.25
2670,139,204,0,0.5,-0.5,-0.25,-0.5,-0.25
2671,164,304,0,0.5,0.5,0.25,0.0,0.0
2672,162,407,0,0.5,0.5,0.25,0.0,0.0
2673,160,304,0,0.5,0.5,0.25,0.0,0.0
2674,152,406,0,0.5,0.5,0.25,0.0,0.0
2675,149,407,0,0.5,0.5,0.25,0.0,0.0
2676,165,206,0,0.5,-0.5,-0.25,-0.5,-0.25
2677,156,401,0,0.5,0.5,0.25,0.0,0.0
2678,139,302,0,0.5,0.5,0.25,0.0,0.0
2679,162,104,0,0.5,-0.5,-0.25,0.5,0.25
2680,164,302,0,0.5,0.5,0.25,0.0,0.0
2681,160,204,0,0.5,-0.5,-0.25,-0.5,-0.25
2682,152,206,0,0.5,-0.5,-0.25,-0.5,-0.25
2683,146,308,0,0.5,0.5,0.25,0.0,0.0
2684,158,108,0,0.5,-0.5,-0.25,0.5,0.25
2685,156,301,0,0.5,0.5,0.25,0.0,0.0
2686,139,401,0,0.5,0.5,0.25,0.0,0.0
2687,165,404,0,0.5,0.5,0.25,0.0,0.0
2688,146,206,0,0.5,-0.5,-0.25,-0.5,-0.25
2689,152,207,0,0.5,-0.5,-0.25,-0.5,-0.25
2690,158,402,0,0.5,0.5,0.25,0.0,0.0
2691,162,402,0,0.5,0.5,0.25,0.0,0.0
2692,164,301,0,0.5,0.5,0.25,0.0,0.0
2693,154,306,0,0.5,0.5,0.25,0.0,0.0
2694,160,103,0,0.5,-0.5,-0.25,0.5,0.25
2695,149,301,0,0.5,0.5,0.25,0.0,0.0
2696,165,303,0,0.5,0.5,0.25,0.0,0.0
2697,146,307,0,0.5,0.5,0.25,0.0,0.0
2698,158,404,0,0.5,0.5,0.25,0.0,0.0
2699,164,408,0,0.5,0.5,0.25,0.0,0.0
2700,156,201,0,0.5,-0.5,-0.25,-0.5,-0.25
2701,139,102,0,0.5,-0.5,-0.25,0.5,0.25
2702,160,208,-1,0.5,-0.5,-0.25,-0.5,-0.25
2703,149,402,0,0.5,0.5,0.25,0.0,0.0
2704,162,108,0,0.5,-0.5,-0.25,0.5,0.25
2705,158,104,0,0.5,-0.5,-0.25,0.5,0.25
2706,164,106,0,0.5,-0.5,-0.25,0.5,0.25
2707,156,102,0,0.5,-0.5,-0.25,0.5,0.25
2708,165,408,0,0.5,0.5,0.25,0.0,0.0
2709,160,402,0,0.5,0.5,0.25,0.0,0.0
2710,149,107,0,0.5,-0.5,-0.25,0.5,0.25
2711,158,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2712,164,104,0,0.5,-0.5,-0.25,0.5,0.25
