,trial,score_dif,userid,gridtype,gridnum
80711,6,1.0,44,Switch,205
80753,3,1.0,72,Switch,208
80807,3,1.0,128,Switch,205
80921,5,1.0,105,Switch,205
80975,1,1.0,96,Switch,208
81023,5,1.0,108,Switch,205
81125,1,0.0,133,Switch,204
81155,3,1.0,122,Switch,201
81209,8,1.0,29,Switch,208
81263,6,1.0,93,Switch,202
81293,3,1.0,124,Switch,205
81455,7,1.0,44,Switch,204
81515,4,1.0,124,Switch,202
81527,7,1.0,93,Switch,203
81887,5,1.0,119,Switch,203
81911,4,1.0,120,Switch,205
81947,2,1.0,109,Switch,205
81965,6,1.0,108,Switch,203
81983,5,1.0,135,Switch,205
82061,5,1.0,99,Switch,207
82079,2,1.0,89,Switch,206
82091,4,1.0,122,Switch,207
82103,5,1.0,114,Switch,205
82217,8,1.0,115,Switch,203
82283,2,1.0,96,Switch,206
82301,7,1.0,108,Switch,201
82541,2,1.0,133,Switch,206
82655,5,1.0,122,Switch,202
82841,4,1.0,111,Switch,206
82919,6,1.0,122,Switch,208
82955,5,1.0,120,Switch,208
83039,3,0.0,109,Switch,206
83129,7,1.0,18,Switch,206
83147,1,1.0,138,Switch,208
83351,8,1.0,44,Switch,203
83405,3,1.0,133,Switch,205
83435,6,1.0,119,Switch,206
83501,8,1.0,108,Switch,207
83585,4,1.0,121,Switch,208
83693,7,1.0,119,Switch,204
83759,4,1.0,91,Switch,204
83765,5,1.0,117,Switch,204
83915,6,1.0,99,Switch,203
83957,4,1.0,72,Switch,204
83987,6,1.0,114,Switch,203
84077,4,1.0,109,Switch,203
84083,6,1.0,105,Switch,202
84119,2,1.0,98,Switch,206
84137,8,1.0,93,Switch,206
84149,6,1.0,110,Switch,203
84161,5,1.0,124,Switch,206
84167,3,1.0,113,Switch,205
84185,7,1.0,99,Switch,206
84197,8,1.0,119,Switch,201
84341,6,1.0,117,Switch,203
84383,8,1.0,60,Switch,202
84389,4,1.0,128,Switch,207
84527,3,1.0,98,Switch,203
84605,2,1.0,138,Switch,205
84653,5,0.0,111,Switch,204
84749,8,1.0,99,Switch,201
84797,5,0.0,121,Switch,207
84899,4,1.0,133,Switch,201
84971,5,1.0,72,Switch,201
84983,4,1.0,98,Switch,204
84989,5,1.0,128,Switch,202
85055,7,1.0,110,Switch,207
85295,6,1.0,128,Switch,201
85331,6,1.0,121,Switch,204
85427,8,1.0,110,Switch,204
85511,7,1.0,57,Switch,201
85595,5,0.0,109,Switch,207
85715,1,1.0,130,Switch,207
85733,6,1.0,72,Switch,206
85895,6,1.0,135,Switch,202
85985,7,1.0,114,Switch,207
85997,1,1.0,137,Switch,201
86051,5,1.0,91,Switch,203
86063,2,1.0,130,Switch,206
86249,6,1.0,124,Switch,207
86273,4,1.0,113,Switch,206
86339,8,1.0,18,Switch,203
86381,3,1.0,96,Switch,203
