,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
256,27,204,0,-0.5,-0.5,0.25,-0.5,0.25
257,30,205,0,-0.5,-0.5,0.25,-0.5,0.25
258,34,106,0,-0.5,-0.5,0.25,0.5,-0.25
259,34,104,0,-0.5,-0.5,0.25,0.5,-0.25
260,30,204,0,-0.5,-0.5,0.25,-0.5,0.25
261,34,203,0,-0.5,-0.5,0.25,-0.5,0.25
262,34,207,0,-0.5,-0.5,0.25,-0.5,0.25
263,34,202,0,-0.5,-0.5,0.25,-0.5,0.25
264,30,207,0,-0.5,-0.5,0.25,-0.5,0.25
265,34,208,0,-0.5,-0.5,0.25,-0.5,0.25
266,34,201,0,-0.5,-0.5,0.25,-0.5,0.25
267,34,206,0,-0.5,-0.5,0.25,-0.5,0.25
268,34,204,0,-0.5,-0.5,0.25,-0.5,0.25
269,34,108,-1,-0.5,-0.5,0.25,0.5,-0.25
270,30,103,-1,-0.5,-0.5,0.25,0.5,-0.25
271,29,103,-1,-0.5,-0.5,0.25,0.5,-0.25
272,30,106,-1,-0.5,-0.5,0.25,0.5,-0.25
273,30,108,-1,-0.5,-0.5,0.25,0.5,-0.25
274,29,208,0,-0.5,-0.5,0.25,-0.5,0.25
275,29,102,-1,-0.5,-0.5,0.25,0.5,-0.25
276,30,107,-1,-0.5,-0.5,0.25,0.5,-0.25
277,34,105,0,-0.5,-0.5,0.25,0.5,-0.25
278,30,203,0,-0.5,-0.5,0.25,-0.5,0.25
279,34,101,0,-0.5,-0.5,0.25,0.5,-0.25
280,30,104,-1,-0.5,-0.5,0.25,0.5,-0.25
281,34,103,-1,-0.5,-0.5,0.25,0.5,-0.25
282,30,206,0,-0.5,-0.5,0.25,-0.5,0.25
283,34,107,-1,-0.5,-0.5,0.25,0.5,-0.25
284,30,201,0,-0.5,-0.5,0.25,-0.5,0.25
285,34,102,-1,-0.5,-0.5,0.25,0.5,-0.25
286,29,108,-1,-0.5,-0.5,0.25,0.5,-0.25
287,30,105,-2,-0.5,-0.5,0.25,0.5,-0.25
288,30,102,-1,-0.5,-0.5,0.25,0.5,-0.25
289,29,202,0,-0.5,-0.5,0.25,-0.5,0.25
290,29,201,0,-0.5,-0.5,0.25,-0.5,0.25
291,29,206,0,-0.5,-0.5,0.25,-0.5,0.25
292,29,105,0,-0.5,-0.5,0.25,0.5,-0.25
293,29,207,0,-0.5,-0.5,0.25,-0.5,0.25
294,29,107,-1,-0.5,-0.5,0.25,0.5,-0.25
295,31,203,-1,-0.5,-0.5,0.25,-0.5,0.25
296,31,101,-1,-0.5,-0.5,0.25,0.5,-0.25
297,31,202,0,-0.5,-0.5,0.25,-0.5,0.25
298,31,204,0,-0.5,-0.5,0.25,-0.5,0.25
299,31,104,0,-0.5,-0.5,0.25,0.5,-0.25
300,31,201,0,-0.5,-0.5,0.25,-0.5,0.25
301,31,207,-1,-0.5,-0.5,0.25,-0.5,0.25
302,31,102,0,-0.5,-0.5,0.25,0.5,-0.25
303,35,102,-1,-0.5,-0.5,0.25,0.5,-0.25
304,31,106,-1,-0.5,-0.5,0.25,0.5,-0.25
305,35,206,0,-0.5,-0.5,0.25,-0.5,0.25
306,35,106,-1,-0.5,-0.5,0.25,0.5,-0.25
307,29,203,0,-0.5,-0.5,0.25,-0.5,0.25
308,31,103,-1,-0.5,-0.5,0.25,0.5,-0.25
309,29,104,-1,-0.5,-0.5,0.25,0.5,-0.25
310,31,208,-1,-0.5,-0.5,0.25,-0.5,0.25
311,31,105,-1,-0.5,-0.5,0.25,0.5,-0.25
312,35,201,0,-0.5,-0.5,0.25,-0.5,0.25
313,31,107,-1,-0.5,-0.5,0.25,0.5,-0.25
314,31,108,-1,-0.5,-0.5,0.25,0.5,-0.25
315,35,205,-1,-0.5,-0.5,0.25,-0.5,0.25
316,31,206,0,-0.5,-0.5,0.25,-0.5,0.25
317,31,205,0,-0.5,-0.5,0.25,-0.5,0.25
318,35,104,0,-0.5,-0.5,0.25,0.5,-0.25
319,35,103,-1,-0.5,-0.5,0.25,0.5,-0.25
320,36,205,-1,-0.5,-0.5,0.25,-0.5,0.25
321,35,203,0,-0.5,-0.5,0.25,-0.5,0.25
322,36,201,0,-0.5,-0.5,0.25,-0.5,0.25
323,35,207,0,-0.5,-0.5,0.25,-0.5,0.25
324,35,208,0,-0.5,-0.5,0.25,-0.5,0.25
325,36,202,-1,-0.5,-0.5,0.25,-0.5,0.25
326,35,101,0,-0.5,-0.5,0.25,0.5,-0.25
327,35,105,-1,-0.5,-0.5,0.25,0.5,-0.25
328,36,207,-1,-0.5,-0.5,0.25,-0.5,0.25
329,36,105,0,-0.5,-0.5,0.25,0.5,-0.25
330,35,202,0,-0.5,-0.5,0.25,-0.5,0.25
331,36,103,-1,-0.5,-0.5,0.25,0.5,-0.25
332,42,208,0,-0.5,-0.5,0.25,-0.5,0.25
333,36,208,0,-0.5,-0.5,0.25,-0.5,0.25
334,42,205,-1,-0.5,-0.5,0.25,-0.5,0.25
335,36,107,-1,-0.5,-0.5,0.25,0.5,-0.25
336,36,203,0,-0.5,-0.5,0.25,-0.5,0.25
337,42,101,-1,-0.5,-0.5,0.25,0.5,-0.25
338,42,204,0,-0.5,-0.5,0.25,-0.5,0.25
339,36,206,0,-0.5,-0.5,0.25,-0.5,0.25
340,42,103,-1,-0.5,-0.5,0.25,0.5,-0.25
341,36,204,0,-0.5,-0.5,0.25,-0.5,0.25
342,36,101,-1,-0.5,-0.5,0.25,0.5,-0.25
343,36,108,-1,-0.5,-0.5,0.25,0.5,-0.25
344,42,207,0,-0.5,-0.5,0.25,-0.5,0.25
345,42,206,0,-0.5,-0.5,0.25,-0.5,0.25
346,42,203,0,-0.5,-0.5,0.25,-0.5,0.25
347,42,201,0,-0.5,-0.5,0.25,-0.5,0.25
348,42,104,-1,-0.5,-0.5,0.25,0.5,-0.25
349,42,108,-1,-0.5,-0.5,0.25,0.5,-0.25
350,42,107,0,-0.5,-0.5,0.25,0.5,-0.25
351,42,105,-1,-0.5,-0.5,0.25,0.5,-0.25
352,42,106,0,-0.5,-0.5,0.25,0.5,-0.25
353,42,202,0,-0.5,-0.5,0.25,-0.5,0.25
354,32,106,-1,-0.5,-0.5,0.25,0.5,-0.25
355,32,104,0,-0.5,-0.5,0.25,0.5,-0.25
356,32,105,0,-0.5,-0.5,0.25,0.5,-0.25
357,32,107,0,-0.5,-0.5,0.25,0.5,-0.25
358,32,103,0,-0.5,-0.5,0.25,0.5,-0.25
359,32,201,-1,-0.5,-0.5,0.25,-0.5,0.25
360,32,208,-1,-0.5,-0.5,0.25,-0.5,0.25
361,32,102,-1,-0.5,-0.5,0.25,0.5,-0.25
362,47,204,-1,-0.5,-0.5,0.25,-0.5,0.25
363,47,208,0,-0.5,-0.5,0.25,-0.5,0.25
364,47,207,0,-0.5,-0.5,0.25,-0.5,0.25
365,32,207,0,-0.5,-0.5,0.25,-0.5,0.25
366,47,205,0,-0.5,-0.5,0.25,-0.5,0.25
367,47,201,0,-0.5,-0.5,0.25,-0.5,0.25
368,51,202,-1,-0.5,-0.5,0.25,-0.5,0.25
369,32,206,0,-0.5,-0.5,0.25,-0.5,0.25
370,32,108,0,-0.5,-0.5,0.25,0.5,-0.25
371,51,106,-1,-0.5,-0.5,0.25,0.5,-0.25
372,32,204,0,-0.5,-0.5,0.25,-0.5,0.25
373,51,204,0,-0.5,-0.5,0.25,-0.5,0.25
374,32,203,0,-0.5,-0.5,0.25,-0.5,0.25
375,51,207,0,-0.5,-0.5,0.25,-0.5,0.25
376,47,108,-1,-0.5,-0.5,0.25,0.5,-0.25
377,51,206,-1,-0.5,-0.5,0.25,-0.5,0.25
378,47,106,-1,-0.5,-0.5,0.25,0.5,-0.25
379,51,101,-1,-0.5,-0.5,0.25,0.5,-0.25
380,32,202,0,-0.5,-0.5,0.25,-0.5,0.25
381,51,205,0,-0.5,-0.5,0.25,-0.5,0.25
382,51,208,0,-0.5,-0.5,0.25,-0.5,0.25
383,32,205,0,-0.5,-0.5,0.25,-0.5,0.25
384,32,101,0,-0.5,-0.5,0.25,0.5,-0.25
385,51,201,0,-0.5,-0.5,0.25,-0.5,0.25
386,51,104,0,-0.5,-0.5,0.25,0.5,-0.25
387,47,206,0,-0.5,-0.5,0.25,-0.5,0.25
388,51,107,-1,-0.5,-0.5,0.25,0.5,-0.25
389,47,101,-1,-0.5,-0.5,0.25,0.5,-0.25
390,51,203,0,-0.5,-0.5,0.25,-0.5,0.25
391,47,202,-1,-0.5,-0.5,0.25,-0.5,0.25
392,47,104,-1,-0.5,-0.5,0.25,0.5,-0.25
393,51,105,0,-0.5,-0.5,0.25,0.5,-0.25
394,47,103,-1,-0.5,-0.5,0.25,0.5,-0.25
395,47,102,0,-0.5,-0.5,0.25,0.5,-0.25
396,47,203,0,-0.5,-0.5,0.25,-0.5,0.25
397,51,102,-1,-0.5,-0.5,0.25,0.5,-0.25
398,51,103,0,-0.5,-0.5,0.25,0.5,-0.25
399,51,108,0,-0.5,-0.5,0.25,0.5,-0.25
400,53,208,0,-0.5,-0.5,0.25,-0.5,0.25
401,53,105,-1,-0.5,-0.5,0.25,0.5,-0.25
402,53,206,0,-0.5,-0.5,0.25,-0.5,0.25
403,53,207,0,-0.5,-0.5,0.25,-0.5,0.25
404,53,103,-1,-0.5,-0.5,0.25,0.5,-0.25
405,53,201,0,-0.5,-0.5,0.25,-0.5,0.25
406,57,103,-1,-0.5,-0.5,0.25,0.5,-0.25
407,57,207,0,-0.5,-0.5,0.25,-0.5,0.25
408,57,203,-1,-0.5,-0.5,0.25,-0.5,0.25
409,53,202,-1,-0.5,-0.5,0.25,-0.5,0.25
410,53,107,-1,-0.5,-0.5,0.25,0.5,-0.25
411,57,101,-1,-0.5,-0.5,0.25,0.5,-0.25
412,57,107,-1,-0.5,-0.5,0.25,0.5,-0.25
413,57,206,0,-0.5,-0.5,0.25,-0.5,0.25
414,53,104,0,-0.5,-0.5,0.25,0.5,-0.25
415,53,102,0,-0.5,-0.5,0.25,0.5,-0.25
416,57,204,0,-0.5,-0.5,0.25,-0.5,0.25
417,53,205,0,-0.5,-0.5,0.25,-0.5,0.25
418,57,104,-1,-0.5,-0.5,0.25,0.5,-0.25
