,trial,score_dif,userid,gridtype,gridnum
85991,4,0.0,109,Push,106
86027,5,0.0,113,Push,103
86081,4,1.0,128,Push,105
86117,5,0.0,121,Push,108
86255,5,1.0,105,Push,103
86303,7,1.0,91,Push,102
86333,5,0.0,114,Push,102
86393,2,0.0,137,Push,103
86411,7,1.0,135,Push,105
86417,3,1.0,138,Push,105
86441,1,1.0,130,Push,106
86447,2,1.0,89,Push,104
86627,5,1.0,128,Push,107
86705,8,1.0,57,Push,106
86753,1,1.0,118,Push,104
86963,6,1.0,128,Push,102
86987,4,1.0,96,Push,104
86999,6,1.0,114,Push,103
87227,8,1.0,135,Push,107
87275,6,1.0,113,Push,107
87293,3,0.0,133,Push,104
87311,8,1.0,120,Push,105
87599,2,1.0,118,Push,105
87683,6,1.0,117,Push,107
87791,7,1.0,114,Push,106
87827,3,1.0,137,Push,104
87833,7,1.0,128,Push,108
88223,6,1.0,105,Push,105
88403,2,1.0,130,Push,108
88451,5,1.0,96,Push,103
88469,5,1.0,109,Push,103
88631,7,1.0,117,Push,105
88793,7,1.0,105,Push,101
88847,6,1.0,109,Push,104
88931,8,1.0,117,Push,108
88955,6,0.0,121,Push,104
89093,7,1.0,113,Push,108
89153,4,0.0,133,Push,102
89213,4,1.0,72,Push,105
89243,1,1.0,50,Push,107
89333,4,0.0,138,Push,106
89423,8,1.0,105,Push,104
89579,5,0.0,138,Push,108
89891,8,1.0,113,Push,101
89933,1,1.0,70,Push,105
90029,5,0.0,72,Push,102
90035,4,0.0,137,Push,105
90053,7,1.0,111,Push,101
90071,3,1.0,89,Push,101
90185,5,1.0,133,Push,106
90191,7,1.0,109,Push,107
90287,8,1.0,111,Push,104
90305,6,1.0,96,Push,107
90353,1,1.0,90,Push,105
90365,8,1.0,91,Push,103
90557,8,0.0,98,Push,107
90563,6,1.0,72,Push,103
90845,7,1.0,72,Push,108
90869,7,0.0,121,Push,107
90941,2,0.0,90,Push,101
91115,8,1.0,72,Push,106
91163,8,1.0,114,Push,107
91205,4,0.0,89,Push,103
91307,8,1.0,128,Push,104
91325,6,0.0,133,Push,105
91403,8,1.0,109,Push,108
91595,3,1.0,118,Push,108
91781,1,0.0,148,Push,103
91847,8,0.0,121,Push,106
91853,4,1.0,118,Push,103
91913,1,0.0,126,Push,107
91925,7,0.0,133,Push,103
92129,5,1.0,137,Push,106
92219,6,1.0,138,Push,107
